,idstd,id,a4a,a6a,a2,a4b_v4,a4b,a0,a3a,a6c,a6b,a14d,a14m,a14y,a14h,a14min,ic1,a1,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b3a,b2a,b2b,b2c,b2d,BGDb2a,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,BGDc18,BGDc19,BGDc20,c22b,BMGc7,BMGc8,BMGc18,BMGc23k,BMGc23l,BMGc23m,c30a,d1a1a,d1a1x,d1a6a,d1a6b,d1a6c,d1a3,d2,d2x,d20,d2a1,d2a1x,n3,d3a,d3b,d3c,d4,d5a,BGDd31,d8,d10,d11,d12a,d12b,d13,d14,d15a,BGDd16,BGDd17,BGDd18,BGDd19,BGDd20,BGDd21,BGDd22,BGDd23,BGDd24,BGDd25,BGDd26,BGDd27a,BGDd27b,BGDd27c,BGDd27d,BGDd27e,BGDd27f,d30a,d30b,BGDd30c,BGDd30d,BGDj30,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,f2,COVb1a,COVb1b,g6a,g1a,g2,g3,g4,BGDg5,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,COVk15,k15d,k16,k17,k20a1,k21,BGDk1a,BGDk1b,BGDk1c,BGDk3a,BGDk3b,BGDk3c,BGDk3d,BGDk3e,k30,h7a,BGDj1a,j2,j3,j4,j5,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,BGDj12,BGDj16,j16,BGDj21a,BGDj21b,BGDj21c,j30a,j30b,j30c,j30e,j30f,h30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,BGDj31,BGDj32,l1,COVl2,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,BGDl14,BGDl15,BGDl16,BGDl17,BGDl18,BGDl19,SARl21,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2e,n2b,n2a1,n2i,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
172,862589,1178,Retail,Small,Greater Dhaka,Retail,52,Retail services,Greater Dhaka,2,Micro,21,3,2022,17,55,1,Bangladesh,Bengali,Firm,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,Yes,No,,1991,3,2000,30,No,No,,Yes,150,No,No,,,,,,No,,No,,,,,,-7,,,No,,,,,,,No obstacle,Retail trade of ,Retail seller of garments waste,,,,80,1000000,One million,0,,,500000,100,0,0,,,,,0,20,100,0,,,,Garments scrap,,,6,,Yes,2,Yes,20,Yes,Yes,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,No obstacle,No obstacle,-7,No,,No,,,,No,,Non-managers are normally not promoted,-7,,,,No,No obstacle,No,,,,No,,,No,,,,Yes,24,0,0,No,,,,300,Square Feet,,No obstacle,Yes,,600,No,,,No obstacle,96,2,0,0,2,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,State-owned banks or government agency,2002,500000,Yes,No,Yes,No,No,No,800000,1,1500000,400000,Yes,No,Collateral requirements were too high,,No,No,Yes,No,-7,Cash,Cash,-7,Cash,No obstacle,Tend to agree,Tend to agree,1,Yes,1,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,6,3,5,2,1,0,Increased ease of paying taxes,3,2,2,,,0,1,2,,,0,2,0,2,0,,No,,,,,,,,,,,,,-7,No obstacle,No obstacle,-7,6,12,15,14,13,1,3,4,10,8,5,7,9,2,11,476000,,14400,,300000,,,21,3,2022,18,59,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,5219,4719,Greater Dhaka,Small (5-19),Retail,Panel,8.536947,10.424404,23.291304,48
173,862590,1184,Retail,Small,Khulna,Retail,52,Retail services,Khulna,5,Small,10,4,2022,12,38,1,Bangladesh,Bengali,Firm,No,,,,,,2021,6,30,Sole proprietorship,,100,No,100,0,0,0,No,No,,1954,8,2005,28,No,No,,No,,,No,,,,,,No,,No,,,,,,No,,,No,,,,,,,No obstacle,Retail trade of ,Retail seller of all kind of dish & cutleries,,,,80,1400000,One million four hundred thousand,0,,,8350000,100,0,0,,,,,0,0,100,0,,,,Diner-set,,,12,,No,20,No,0,No,No,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,No obstacle,No obstacle,We fixed it but did not take further action,No,,No,,,,No,,Non-managers are normally not promoted,-7,,,,No,No obstacle,No,,,,No,,,No,,,,Yes,16,100,100,No,,,,1200,Square Feet,,Minor obstacle,No,,,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,No,No,Yes,State-owned banks or government agency,2020,2000000,Yes,Yes,Yes,No,No,No,4000000,1,2000000,2000000,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,-7,-7,Cash,No obstacle,Tend to agree,Tend to agree,1,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,-7,No obstacle,-7,No obstacle,3,6,4,2,5,1,Too difficult or long to receive refunds,Higher thresholds for non-taxable income,5,5,5,,,0,4,1,,,0,0,,,,0,No,,,,,,,,,,,,,-7,No obstacle,No obstacle,Access to land,12,4,7,10,15,8,5,3,14,2,11,1,6,13,9,450000,,36000,,700000,,,10,4,2022,1,42,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,Over 250.000 to 1 million,5219,4719,Khulna,Small (5-19),Retail,Panel,5.0756974,6.6586657,7.622707,157
174,862591,1194,Retail,Small,Chattogram,Retail,52,Retail services,Chattogram,5,Small,30,7,2022,10,45,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1998,5,1998,20,No,No,,No,,,Yes,30,3,0,15,,No,,No,,,,,,No,,,No,,,,,,,Moderate obstacle,Retail trade of ,Retail sale of electrical household appliances via stall,,,,100,4200000,Four million two hundred thousand,0,,,4000000,100,0,0,,,,,-7,,100,0,,,,Electrical household appliances,,,-9,No,No,20,No,5,No,No,Slightly,Slightly,Moderately,Not at all,Not at all,Not at all,No obstacle,-7,-7,Minor obstacle,Minor obstacle,-7,No,,No,,,,No,,-7,-7,,,,Yes,Moderate obstacle,No,,,,No,,,No,,,,Yes,24,0,0,No,,,,120,Square Feet,,Moderate obstacle,No,,,No,,,Minor obstacle,60,40,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,Private commercial banks,2022,3000000,Yes,Yes,No,No,No,No,-9,2,7000000,8000000,No,Yes,,Application was approved in full,No,Yes,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Tend to disagree,Tend to disagree,100,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Strongly agree,Tend to agree,Moderate obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,2,5,4,1,3,6,Tax officials are corrupt,Increased enforcement or monitoring by the government,5,5,5,,,0,2,3,,,0,0,,,,2,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Corruption,15,3,9,1,5,4,13,7,8,14,12,10,2,11,6,500000,,140000,,1194,,,30,7,2022,11,39,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,5252,4789,Chittagong,Small (5-19),Retail,Panel,2.711691,4.7991,8.641044,79
175,862592,1210,Retail,Medium,Dhaka City,Retail,52,Retail services,Dhaka MA,22,Medium,4,8,2022,12,19,1,Bangladesh,Bengali,Establishment,Yes,4,Yes,Yes,Yes,,2021,12,31,Partnership,,35,Yes,100,0,0,0,No,No,,2004,10,2004,18,No,Yes,Iso 14000,No,,,No,,,,,,No,,No,,,,,,No,,,Yes,,,,,,,No obstacle,Retail trade of ,"Retail sale of computers, peripheral units in specialized stores",,,,100,24180000,Twenty-four million one hundred eighty thousand,0,,,27000000,100,0,0,,,,,-7,,0,100,Yes,3,Yes,Printer,Yes,Quality of the product,4,,Yes,15,Yes,5,Yes,Yes,Not at all,Moderately,Moderately,Not at all,Not at all,Slightly,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Most managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,,,,Yes,Minor obstacle,No,,,,No,,,No,,,,Yes,12,100,100,No,,,,1000,Square Feet,,No obstacle,No,,,No,,,Minor obstacle,50,50,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Private commercial banks,-9,100000000,Yes,Yes,Yes,Yes,No,No,-9,-9,,-9,-9,-9,,,Yes,Yes,Yes,Yes,Cheque,Cheque,Cheque,Cheque,Cheque,No obstacle,Tend to disagree,Tend to disagree,0,Yes,2,No,No,,5,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,4,3,5,6,1,2,Tax procedures are too complicated,Fewer number of taxes,22,22,21,,,5,15,2,,,7,0,,,,5,No,,,,,,,,,,,,,No,Minor obstacle,No obstacle,Customs and trade regulations,1,10,12,11,9,4,3,14,8,6,13,15,2,7,5,2870000,,60000,,14000000,,,4,8,2022,12,55,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,Yes,Yes,City with population over 1 million,5239,4741,Dhaka City,Medium (20-99),Retail,Panel,3.0411859,4.8656683,8.849738,24
176,862593,1215,Retail,Large,Dhaka City,Retail,52,Retail services,Dhaka MA,145,Large,7,4,2022,14,52,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Partnership,,60,Yes,100,0,0,0,No,Yes,20,1993,60,1993,25,No,Yes,ISO 9000,No,,,No,,,,,,No,,No,,,,,,No,,,Yes,,,,,,,No obstacle,Retail trade of ,Retail sale of server networking products,,,,70,800000000,Eight hundred million,5,,,500000000,100,0,0,,,,,0,0,5,95,Yes,12,-8,Cable,Yes,Availability in the market,10,,Yes,20,No,3,Yes,Yes,Very much,Very much,Slightly,Not at all,Moderately,Moderately,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,All managers and most production workers,Yes,The firmâ?s performance,Promotions were based solely on performance and ability,Rarely or never,,,,Yes,Minor obstacle,No,,,,No,,,No,,,,Yes,8,100,100,No,,,,300,Square Feet,,Major obstacle,Yes,1,,No,,,No obstacle,50,30,0,20,0,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,Private commercial banks,2018,10000000,Yes,Yes,No,Yes,No,No,30000000,1,10000000,10000000,Yes,No,Application procedures were complex,,Yes,Yes,Yes,Yes,Cash,Cheque,Online payment,Cash,Cash,Minor obstacle,-9,Tend to disagree,80,Yes,1,Yes,Yes,5,1,,No,,,No,,,No,No,Yes,Tend to agree,Tend to disagree,Tend to disagree,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Major obstacle,Minor obstacle,2,5,6,3,4,1,Too many documents or too frequent filing,Higher thresholds for non-taxable income,145,150,150,,,5,80,60,,,-9,145,10,6,30,,Yes,,,,,100,,Yes,Computer or general IT skills including use of internet and software,TVET training institutes,Yes,"Personal development training such as working in a team, time-use, leadership, handling stress",TVET training institutes,Yes,Minor obstacle,No obstacle,Courts,13,4,10,8,6,3,2,15,12,14,7,5,9,1,11,15100000,,2400000,,600000000,,,8,4,2022,1,32,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,Yes,Yes,City with population over 1 million,5219,4719,Dhaka City,Large (100 or more),Retail,Panel,1.275178,2.5193477,5.107696,38
177,862594,1217,Retail,Medium,Dhaka City,Retail,52,Retail services,Dhaka MA,400,Large,28,7,2022,12,51,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1979,10,1979,50,No,No,,No,,,Yes,60,0,59,-9,,No,,No,,,,,,No,,,Yes,,,,,,,No obstacle,Retail trade of ,Retail sales of ceramic tiles via stall Tiles,,,,75,102600000,One hundred two million six hundred thousand,0,,,100000000,100,0,0,,,,,-7,,0,100,Yes,90,Yes,Ceramic tiles,Yes,Quality of the product,10,,Yes,30,No,20,No,No,Very much,Very much,Very much,Very much,-9,Moderately,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,Only senior managers,Yes,Their team's or shift performance,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",-7,,,,No,-7,No,,,,No,,,No,,,,Yes,12,0,0,No,,,,1000,Square Feet,,-7,Yes,,48000,No,,,Major obstacle,50,50,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,-9,,,,,,,,,,,,,,-9,-9,,,-9,Yes,Yes,Yes,Cash,Cash,Cash,Cash,Cash,-7,Tend to disagree,Tend to disagree,-9,Yes,2,Yes,Yes,-9,-8,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,1,3,4,6,5,2,-9,-9,100,90,85,,,2,24,74,,,0,0,,,80,,No,,,,,,,,,,,,,No,Minor obstacle,No obstacle,Corruption,6,11,2,7,3,13,1,10,14,12,4,15,9,5,8,11750000,,90000,,60000000,,,28,7,2022,13,17,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,Yes,Yes,City with population over 1 million,5252,4789,Dhaka City,Medium (20-99),Retail,Panel,3.0411859,4.8656683,8.849738,24
178,862595,1218,Retail,Medium,Khulna,Publishing activities,22,Other services,Khulna,33,Medium,10,4,2022,15,43,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1996,33,1998,20,No,No,,No,,,No,,,,,,Yes,1,No,,,,,,No,,,Yes,,,,,,,No obstacle,Provide services of ,Publishing of newspaper,,,,60,7044000,Seven million forty-four thousand,40,,,5000000,100,0,0,,,,,0,2,100,0,,,,Paper,,,10,,No,20,No,2,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Non-managers are normally not promoted,Rarely or never,,,,No,No obstacle,No,,,,No,,,No,,,,No,,0,0,No,,,,,,,No obstacle,No,,,No,,,No obstacle,100,0,0,0,0,Yes,650000,0,100,,0,,0,,0,,0,,0,,,,,No,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cash,-7,-7,No obstacle,Tend to agree,Tend to agree,1,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,5,3,1,2,6,Too difficult or long to receive refunds,Increased ease of paying taxes,33,33,33,,,3,25,5,,,-9,0,,,,30,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Tax rates,10,5,3,8,9,14,15,2,1,11,4,13,7,12,6,3813200,,192000,,,,,10,4,2022,17,34,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,No,50.000 to 250.000,2212,5813,Khulna,Medium (20-99),Retail,Panel,2.2280107,3.2641501,3.676837,169
179,862596,1227,Retail,Small,Rajshahi,Retail,52,Retail services,Rajshahi,15,Small,17,5,2022,16,48,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,3,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1980,8,1980,42,No,No,,No,,,Yes,60,0,30,2,,No,,No,,,,,,No,,,No,,,,,,,No obstacle,Retail trade of ,Retail sale of Cement via stall,,,,100,240000000,Two hundred forty million,0,,,120000000,100,0,0,,,,,0,0,100,0,,,,Cement,,,1,No,Yes,9,No,10,No,No,Very much,Extremely,Extremely,Not at all,Not at all,Not at all,Moderate obstacle,No obstacle,-7,Moderate obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,No,,Non-managers are normally not promoted,Rarely or never,,,,No,No obstacle,No,,,,No,,,No,,,,Yes,4,50,50,No,,,,190,Square Feet,,No obstacle,Yes,,100000,No,,,No obstacle,20,80,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,Private commercial banks,-9,-9,Yes,Yes,No,No,No,No,-9,1,-9,-9,No,No,No need for a loan - establishment had sufficient capital,,No,Yes,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,-9,-9,0,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,-9,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,4,1,6,2,5,0,Better local services provided by the government,15,15,15,,,2,4,9,,,-9,0,,,5,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Inadequately educated workforce,14,10,8,15,9,5,4,3,13,1,11,2,7,12,6,-9,,180000,,219000000,,,17,5,2022,17,40,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,No,No,City with population over 1 million,5252,4789,Rajshahi,Small (5-19),Retail,Panel,7.5892353,9.334598,10.731983,125
180,862597,1231,Other Services,Small,Chattogram,Retail,52,Retail services,Chattogram,10,Small,30,5,2022,12,6,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Shareholding company with shares traded on the stock market,,-9,Yes,100,0,0,0,No,Yes,-9,2001,5,2001,32,No,Yes,ISO9001,No,,,Yes,30,1,0,1,,Yes,15,No,,,,,,Yes,2,3,Yes,,,,,,,Minor obstacle,Retail trade of ,Retail sale of electrical household appliances,,,,50,90000000,Ninety million,15,,,110000000,100,0,0,,,,,0,0,100,0,,,,Refrigerator,,,1,No,Yes,21,No,0,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,Minor obstacle,-7,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,,,,No,No obstacle,No,,,,No,,,No,,,,Yes,26,0,-7,No,,,,2000,Square Feet,,-7,Yes,,18000,No,,,No obstacle,-9,-9,-9,-9,-9,No,,,,,,,,,,,,,,,,,,No,No,-9,,,,,,,,,,,,,,-9,-9,,,No,No,No,No,Cash,-7,-7,-9,Cash,No obstacle,Strongly disagree,Tend to agree,1,-9,,,No,,0,,No,,,No,,,No,No,No,Strongly agree,Tend to disagree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,-7,3,4,1,5,6,2,-9,Fewer number of taxes,10,8,7,,,0,6,4,,,-9,0,,,,10,Yes,,,,,,10,No,,,No,,,No,No obstacle,No obstacle,-7,11,2,13,5,15,6,4,9,8,14,7,12,1,3,10,3000000,,300000,,70000000,,,30,5,2022,12,40,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,5233,4759,Chittagong,Small (5-19),Other Services,Panel,1,1.3579205,2.573502,82
181,862598,1233,Hotels,Medium,Rajshahi,Accommodation,55,Accommodation,Rajshahi,12,Small,23,4,2022,20,59,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,3,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1978,23,1978,42,No,No,,No,,,Yes,25,0,5,1,,No,,No,,,,,,No,,,Yes,,,,,,,Major obstacle,Hotel or restaurant,Short time accommodation services (Residential hotel),38,4000,Square Feet,100,1800000,One million eight hundred thousand,5,,,3600000,100,0,0,,,,,0,25,100,0,,,,Cot,,,2,,Yes,38,No,10,Yes,No,Very much,Very much,Not at all,Not at all,Not at all,Not at all,Very severe obstacle,Minor obstacle,-7,Moderate obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,,,,No,Minor obstacle,No,,,,No,,,No,,,,Yes,48,100,100,No,,,,,,,No obstacle,Yes,15,,No,,,Minor obstacle,100,0,0,0,0,Yes,65000,0,100,,0,,0,,0,,0,,0,,,,,No,No,No,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,No,No,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Tend to disagree,Tend to disagree,10,Yes,2,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,Strongly agree,Strongly agree,Minor obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,5,4,3,6,2,1,0,Increased ease of paying taxes,12,12,20,,,0,6,5,,,-9,0,,,80,,No,,,,,,,,,,,,,No,No obstacle,Minor obstacle,Political instability,12,4,7,10,15,8,5,3,14,2,11,1,6,13,9,1130000,,300000,,,,,23,4,2022,22,4,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,No,No,City with population over 1 million,5510,5510,Rajshahi,Medium (20-99), Hotels,Panel,3.3835907,4.2682023,3.6984978,141
182,862599,1235,Hotels,Medium,Dhaka City,Accommodation,55,Accommodation,Dhaka MA,130,Large,12,8,2022,11,22,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2002,100,2002,30,No,No,,No,,,Yes,1,0,5,-9,,No,,No,,,,,,No,,,No,,,,,,,No obstacle,Hotel or restaurant,Short time accommodation services (Residential hotel),40,5000,Square Feet,70,21600000,Twenty-one million six hundred thousand,0,,,15000000,100,0,0,,,,,-7,,100,0,,,,Furniture for room,,,4,,Yes,10,No,10,No,No,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,-7,-7,-7,-7,-7,We fixed it and took action to make sure it did not happen again,No,,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,Only senior managers,No,,-7,-7,,,,No,-7,No,,,,No,,,No,,,,Yes,1,100,100,No,,,,,,,-7,Yes,,30000,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,-9,-9,,,,,,,,,,,,,,-9,-9,,,-9,Yes,Yes,Yes,Cash,Cash,Cash,Cash,Cash,-7,Tend to agree,Tend to agree,-9,Yes,2,No,No,,-8,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,3,1,5,6,4,-8,-9,125,125,125,,,2,25,98,,,0,0,,,,40,No,,,,,,,,,,,,,No,No obstacle,Minor obstacle,-7,8,13,2,1,4,6,3,12,15,7,9,11,10,5,14,13850000,,240000,,,,,12,8,2022,11,40,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Yes,Yes,City with population over 1 million,5510,5510,Dhaka City,Medium (20-99), Hotels,Panel,1.4122958,2.1167629,3.0722132,26
183,862600,1237,Hotels,Small,Khulna,Accommodation,55,Accommodation,Khulna,4,Micro,8,4,2022,15,58,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1992,4,1995,30,No,No,,No,,,No,,,,,,No,,No,,,,,,No,,,No,,,,,,,No obstacle,Hotel or restaurant,Short time accommodation services (Residential hotel),30,3800,Square Feet,100,1166000,One million one hundred sixty-six thousand,0,,,972000,100,0,0,,,,,0,2,100,0,,,,Bedsheet,,,1,Yes,No,10,No,10,No,No,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,No obstacle,-7,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,,,,No,Minor obstacle,No,,,,No,,,No,,,,Yes,6,100,0,No,,,,,,,No obstacle,No,,,No,,,No obstacle,100,0,0,0,0,Yes,12000,0,100,,0,,0,,0,,0,,0,,,,,No,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,-7,-7,Cash,No obstacle,Tend to agree,Tend to disagree,1,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to disagree,Tend to disagree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,4,2,5,6,3,Tax procedures are too complicated,Higher thresholds for non-taxable income,4,4,4,,,0,3,1,,,-9,1,1,4,,1,No,,,,,,,,,,,,,No,Minor obstacle,No obstacle,Tax rates,6,5,11,10,2,1,8,13,3,7,15,4,14,12,9,420000,,120000,,,,,8,4,2022,16,35,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,2,No,No,50.000 to 250.000,5510,5510,Khulna,Small (5-19), Hotels,Panel,1.2464778,1.5420777,1.295555,159
