Qcode,Null_2013,Null_2022,Type,QUESTION_2013,QUESTION_2022,process
d12b,263,9,Percent,2011/2012 회계연도에 해당 연도에 구매한 모든 재료 투입물 또는 공급품의 비율로서 이 시설의 재료 투입물 또는 공급품 중 몇 퍼센트가 외국산 재료 투입물 또는 공급품이었는가?,"회계연도[마지막 전체 회계연도 삽입]에 이 시설의 재료 투입물 또는 공급품 구매 비율은 몇 퍼센트입니까?
외국산",
d1a1x,0,0,Text,"2011/2012 회계연도에 이 시설의 주요 제품 또는 활동, 즉 연간 매출의 가장 큰 부분을 차지하는 제품 또는 활동은 무엇입니까?_화동 또는 제품을 상세히 설명","회계연도[최근 전체 회계 연도 삽입]에서 이 시설의 주요 활동 및 제품, 즉 연간 매출의 가장 큰 비중을 차지하는 활동 및 제품은 무엇이었습니까?
주요 활동 및 제품에 대한 자세한 설명",Null
k14d,948,760,Nominal,"가장 최근의 대출 또는 신용 한도만 참조하면, 어떤 유형의 담보가 필요했습니까?
Personal assets of owner (house, etc.)",신용 한도 또는 대출 자금 조달에 어떤 유형의 담보가 필요했습니까?_소유자의 개인 자산(주택 등),Null
c5,1331,949,Nominal,해당 전기 연결 신청과 관련하여 비공식적인 선물이나 지불을 기대하거나 요청했습니까?,해당 신청서와 관련하여 비공식적인 선물이나 지불을 기대하거나 요청했습니까?,Null
k14c,957,759,Nominal,"가장 최근의 대출 또는 신용 한도만 참조하면, 어떤 유형의 담보가 필요했습니까?
Accounts receivable and inventories",신용 한도 또는 대출 자금 조달에 어떤 유형의 담보가 필요했습니까?_외상매출금 및 재고자산,Null
d1a3,7,0,Percent,주요 제품 또는 활동이 나타내는 총 매출의 비율은 얼마입니까,이 주요 활동 또는 제품이 나타내는 총 매출의 비율은 얼마입니까?,
d2,53,27,Continuous,2011/2012 회계연도에 이 시설의 모든 제품 및 서비스 에 대한 총 연간 매출(Taka),"회계 연도 2020/2021에서 이 시설의 모든 제품 및 서비스에 대한 총 연간 매출은 얼마였습니까?
Taka",
k14a,939,758,Nominal,"가장 최근의 대출 또는 신용 한도만 참조하면, 어떤 유형의 담보가 필요했습니까?
Land, buildings under ownership of the establishment","신용 한도 또는 대출 자금 조달에 어떤 유형의 담보가 필요했습니까?_토지, 시설의 소유권에  따른 건물",Null
g6a,1308,11,Percent,이 시설이 점유하고 있는 건물 중 시설 소유는 몇 퍼센트입니까?,이 시설이 점유하고 있는 건물 중 이 시설이 소유하고 있는 건물의 비율은 몇 퍼센트입니까?,Null
d2x,53,27,Text,2011/2012 회계연도에 이 시설의 모든 제품 및 서비스 에 대한 총 연간 매출(글로 적기),"회계 연도 2020/2021에서 이 시설의 모든 제품 및 서비스에 대한 총 연간 매출은 얼마였습니까?
텍스트로 직접 적어 주십시오",Null
d30a,0,78,Nominal,운송이 이 시설의 현재 운영에 어느 정도 장애가 됩니까 ?,"카드의 응답 옵션 사용 다음 각 항목은 이 시설의 현재 운영에 어느 정도 장애가 됩니까?
운송 수단",
k14e,1036,760,Nominal,"가장 최근의 대출 또는 신용 한도만 참조하면, 어떤 유형의 담보가 필요했습니까?
Other forms of collateral not included in the categories above",신용 한도 또는 대출 자금 조달에 어떤 유형의 담보가 필요했습니까?_그 외의 다른 유형의 담보,Null
d30b,13,453,Nominal,관세 및 무역 규정이 이 시설의 현재 운영에 어느 정도 장애가 됩니까 ? ,"카드의 응답 옵션 사용 다음 각 항목은 이 시설의 현재 운영에 어느 정도 장애가 됩니까?
관세 및 무역 규정",
d3a,0,1,Percent,2011/2012 회계연도에 이 시설의 판매 중 전국 판매의 비율은?,"회계 연도 [마지막 전체 회계 연도 삽입]로 돌아가서 이 시설의 매출 비율은 몇 퍼센트입니까?
전국 판매",
d3b,0,1,Percent,2011/2012 회계연도에 이 시설의 판매 중 간접 수출의 비율은?,"회계 연도 [마지막 전체 회계 연도 삽입]로 돌아가서 이 시설의 매출 비율은 몇 퍼센트입니까?
간접 수출(제품을 수출하는 제3자에게 국내에서 판매)",
g4,1393,973,Nominal,건설 관련 허가 신청과 관련하여 비공식적인 선물이나 지불이 예상되거나 요청되었습니까?,건설 관련 허가를 받기 위해 신청과 관련하여 비공식적인 선물이나 지불을 기대하거나 요청했습니까?,Null
l8,1129,800,Continuous,"2011/2012 회계연도에 모든 정규 임시 직원의 평균 고용 기간은 얼마입니까?
지난 회계연도의 평균 풀타임 계절 또는 임시 고용(개월)",회계연도[마지막 전체 회계연도 삽입]에 전체 정규직 임시 근로자의 평균 고용 기간은 얼마였습니까?,Null
c4,1371,954,,해당 전기 연결 신청과 관련하여 신청일로부터 서비스를 받기까지 소요된 기간은 대략 며칠입니까?,그 신청과 관련하여 신청일로부터 서비스를 받은 날까지 대략 며칠 정도 걸렸습니까?,Null
d3c,0,1,Percent,2011/2012 회계연도에 이 시설의 판매 중 직접 수출의 비율은?,"회계 연도 [마지막 전체 회계 연도 삽입]로 돌아가서 이 시설의 매출 비율은 몇 퍼센트입니까?
직접 수출",
e1,262,459,Nominal,2011/2012 회계연도에 이 시설이 주요 제품을 판매한 주요 시장은 다음 중 어느 것입니까?,회계연도 [마지막 전체 회계연도 삽입]에서 이 시설이 주요 제품을 판매한 주요 시장은 다음 중 어느 것입니까?,
e11,14,12,Nominal,이 시설은 미등록 또는 비공식 회사와 경쟁합니까?,이 시설은 미등록 또는 비공식 시설과 경쟁합니까?,
k5hdj,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
기타, 대금업자, 친구, 친척, 채권 등","회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_기타, 대금업자, 친구, 친척, 채권 등",Null
e30,5,92,Nominal,비공식 부문에서의 경쟁자 관행이 이 시설의 현재 운영에서 어느 정도 장애가 됩니까?,카드의 응답 옵션 사용 사용 비공식 부문에서 경쟁업체의 관행이 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,
e2b,1037,643,Continuous,2011/2012 회계연도에 이 시설이 주요 제품을 판매한 주요 시장에서 이 시설의 주요 제품에 직면한 경쟁자는 몇 명입니까?,"회계연도 [마지막 전체 회계연도 삽입]에서 이 시설이 주요 제품을 판매한 주요 시장에서 이 시설의 주요 제품이 몇 명의 경쟁자와 대면했습니까?
경쟁자 수",Null
e6,263,457,Nominal,이 시설은 현재 사무용 소프트웨어를 제외하고 외국인 소유 기업으로부터 라이센스를 받은 기술을 사용하고 있습니까?,이 시설은 현재 사무용 소프트웨어를 제외하고 외국인 소유 기업으로부터 라이선스를 받은 기술을 사용하고 있습니까?,
f1,264,462,Percent,2011/2012 회계연도에 사용 가능한 모든 리소스(용량 활용률)를 사용할 경우 가능한 최대 생산량의 비율로 산출된 시설의 생산량은 얼마입니까?(퍼센트),회계 연도[마지막 전체 회계 연도 삽입]에서 이 시설의 산출량은 가능한 모든 물리적 자본을 사용하는 경우 가능한 최대 산출량의 백분율로 얼마입니까(용량 활용)?,
f2,262,455,Continuous,2011/2012 회계연도에 이 시설은 일반적으로 주당 몇 시간 운영되었습니까?,"그리고 이 업소는 보통 일주일에 몇 시간 운영했습니까?
Hour",
j14,1397,984,Continuous,이 운영 면허를 신청한 날부터 부여받은 날까지 대략 며칠이 걸렸습니까? (Days),운영허가를 받기 위해 신청일로부터 며칠을 기다렸습니까?,Null
n5b,1108,820,Continuous,"2011/2012 회계연도에 이 시설에서 다음 항목을 구입하는 데 지출한 금액
토지 및 건물(Taka)",회계연도 [마지막 회계 연도 삽입]에 이 시설은 기존 구조물의 확장 및 개조를 포함한 토지 및 건물에 얼마를 소비했습니까?(Taka),Null
g1a,0,34,Percent,이 시설이 점유하고 있는 토지 중 시설 소유는 몇 퍼센트입니까?,이 시설이 점유하고 있는 토지 중 이 시설이 소유하고 있는 토지의 비율은 몇 퍼센트입니까?,
g2,1,7,Nominal,지난 2년 동안 이 시설은 건축 관련 허가를 받기 위해 신청서를 제출했습니까?,지난 2년 동안 이 시설이 건설 관련 허가를 받기 위해 신청했습니까?,
d13,819,841,Nominal,2011/2012 회계연도에 구입한 재료 투입물 또는 공급품이 직접 수입되었습니까?,재료 투입물 또는 공급품이 직접 수입되었습니까?,Null
g30a,4,100,Nominal,토지에 대한 접근이 이 시설의 현재 운영에 어느 정도 장애가 됩니까 ?,카드의 응답 옵션 사용 토지에 대한 접근이 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,
h1,2,3,Nominal,지난 3년 동안 이 시설은 새롭 거나 상당히 개선된 제품이나 서비스를 도입했습니까?,지난 3년 동안 이 시설은 새롭거나 개선된 제품이나 서비스를 도입했습니까?,
h30,26,112,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Courts",법원이 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
k15a,989,844,Continuous,"가장 최근의 신용 한도 또는 대출만 언급할 때 필요한 담보의 대략적인 가치는 얼마였습니까?
담보가치(Taka)",신용 한도 또는 대출 자금 조달에 필요한 담보의 가치는 얼마였습니까?(Taka),Null
h5,7,9,Nominal,지난 3년 동안 이 시설에서 새롭 거나 상당히 개선된 조직 구조 또는 관리 관행을 도입했습니까?,"지난 3년 동안 이 시설은 새롭거나 개선된 프로세스를 도입했습니까? 여기에는 다음이 포함됩니다. 제품 제조 또는 서비스 제공 방법; 투입물, 제품 또는 서비스의 물류, 배송 또는 유통 방법 또는 프로세스를 위한 지원 활동?",
h7a,22,99,Nominal,"법원 시스템과 그것이 비즈니스에 미치는 영향을 설명하는 한 문장을 읽을 것입니다. 매우 동의하지 않는 경우, 동의하지 않는 경향이 있는 경우, 동의하는 경우 또는 매우 동의하는 경우 알려주세요.
""법원 시스템은 공정하고 공평하며 부패하지 않습니다.""","다음 질문에 동의하는 정도를 표시해라_""법원 시스템은 공정, 공평하며 부패하지 않습니다.""",
h8,3,9,Nominal,"지난 3년 동안 이 시설은 직원들에게 제품이나 서비스, 비즈니스 프로세스, 회사 관리 또는 마케팅에 대한 새로운 접근 방식이나 새로운 아이디어를 개발하거나 시도할 시간을 주었습니까?",회계 연도 [최근 전체 회계 연도 삽입] 동안 이 시설은 시장 조사 조사를 제외하고 사내에서 또는 다른 회사와 계약을 맺은 연구 개발 활동에 지출했습니까?,
i1,2,6,Nominal,"2011/2012 회계연도에 이 시설은 장비, 인력 또는 전문 보안 서비스와 같은 보안 비용을 지불했습니까?","회계연도[최종 회계연도 삽입]에 이 시설은 예를 들어 장비, 인력 또는 인터넷 보안을 포함한 전문 보안 서비스와 같은 보안 비용을 지불했습니까?",
i2b,266,562,Continuous,2011/2012 회계연도에 이 시설의 연간 총 매출 중 몇 퍼센트가 보증금으로 지불되었습니까? 또는 연간 총 경비는 얼마입니까?(연간 총 보안 비용_Taka),이 시설의 연간 총 매출 중 보안을 위해 지불한 연간 총 보안 비용은 얼마입니까?,
i3,0,6,Nominal,"2011/2012 회계연도에 이 시설은 이 시설 구내에서 절도, 강도, 기물 파손 또는 방화로 인해 손실을 입었습니까?","회계 연도 [최근 전체 회계 연도 삽입]에 이 시설이 이 시설 구내에서 발생한 절도, 강도, 기물 파손, 방화 또는 인터넷 해킹이나 사기성 인터넷 거래로 인해 손실을 입었습니까?",
k15b,908,784,Continuous,"이 시설이 보유하고 있는 미결제 대출 또는 개설 신용 한도는 총 얼마입니까?
미결제 총 대출 수",이 시설이 보유하고 있는 개설 신용 한도 및 미결제 대출의 총 수는 얼마입니까?(열린 신용 한도 및 미결제 대출의 총 수),Null
i30,0,34,Nominal,"용 범죄, 절도 및 무질서는 이 시설의 현재 운영에 어느 정도 장애가 됩니까 ?","카드의 응답 옵션 사용 범죄, 절도 및 무질서는 이 시설의 현재 운영에 어느 정도 장애가 됩니까?",
j10,9,35,Nominal,지난 2년 동안 이 시설은 수입 허가를 받기 위해 신청서를 제출했습니까?,지난 2년 동안 이 시설은 수입 허가를 받기 위해 신청했습니까?,
i4b,1300,991,Continuous,"2011/2012 회계연도에 이 시설 구내에서 발생한 절도, 강도, 공공 기물 파손 또는 방화로 인한 예상 손실은 연간 총 매출의 백분율 또는 연간 
총 손실로 얼마입니까?(총 연간 손실 가치_Taka)","이 시설 구내에서 발생한 절도, 강도, 기물 파손, 방화 또는 인터넷 해킹이나 사기성 인터넷 거래로 인한 손실을 총 연간 손실로 추정해 주십시오.",Null
g3,1403,975,Continuous,해당 건설 관련 허가 신청과 관련하여 신청일로부터 허가를 받은 날까지 허가를 받는 데 대략 며칠이 걸렸습니까?,"건설 관련 허가를 받기 위해 신청과 관련하여 신청일로부터 허가가 부여된 날까지 약 며칠이 걸렸습니까?
Days",Null
j13,4,29,Nominal,지난 2년 동안 이 시설은 운영 허가를 얻기 위해 신청서를 제출했습니까?,지난 2년 동안 이 시설은 운영 허가를 받기 위해 신청했습니까?,
j2,26,119,Percent,"작년 한 주 동안 정부 규정에 의해 부과된 요구 사항을 처리하는 데 전체 고위 경영진의 시간 중 몇 퍼센트가 소요되었습니까? (고위 경영진이란 생산 또는 판매 근로자의 직속 상사 이상의 관리자, 이사 및 임원을 의미합니다. 정부 규제의 예로는 공무원과의 거래 및 양식 작성을 포함하여 세금, 관세, 노동 규정, 허가 및 등록이 있습니다.)
고위 경영진이 규제를 처리하는 데 소요되는 시간(비율)",작년 한 주 동안 정부 규정에 의해 부과된 요구 사항을 처리하는 데 전체 고위 경영진의 시간 중 몇 퍼센트가 소요되었습니까?,
j3,14,36,Nominal,지난 1년 동안 세무 공무원이 이 시설을 방문하거나 검사했습니까?,지난 1년 동안 세무 공무원이 이 시설을 방문하거나 조사했거나 만나야 했습니까? ,
j30a,16,20,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Tax rates",세율이 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
j30b,17,19,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Tax administration",세금 관리가 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
j30c,10,20,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Business licensing and permits",사업 면허 및 허가가 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
j30e,1,11,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Political instability",정치적 불안정이 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
g5bx,,997,,이 시설의 총 판매 면적은 얼마입니까?_단위만 입력(카드에 있는 단위 외의 다른 단위 구체적으로 작성),"이 시설의 총 판매 면적
OTHER (SPECIFY)",Null
i4a,,972,,"2011/2012 회계연도에 이 시설 구내에서 발생한 절도, 강도, 공공 기물 파손 또는 방화로 인한 예상 손실은 연간 총 매출의 백분율 또는 연간 
총 손실로 얼마입니까?(연간 총 매출 대비 손실 비율)","이 시설 구내에서 발생한 절도, 강도, 기물 파손, 방화 또는 인터넷 해킹이나 사기성 인터넷 거래로 인한 손실을 연간 총 매출의 백분율로 추정해주십시오.",Null
j30f,5,30,Nominal,"카드의 응답 옵션 사용이 이 시설의 현재 운영에 어느 정도 장애물입니까?
Corruption",부패가 이 시설의 현재 운영에 어느 정도의 장애물입니까?,
g5a,1322,868,Continuous,이 시설의 총 판매 면적은 얼마입니까?,이 시설의 총 판매 면적은 얼마입니까?,Null
j4,547,427,Continuous,지난 1년 동안 이 시설은 몇 번이나 세무 공무원의 조사를 받거나 면담을 요구받았습니까?,세무 공무원의 검사가 작년에 몇 번이나 있었습니까?,
